TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
TOTS3;28,12;1,10;34,84;3,79;1,63;69,81;16,90;13,13;27,07;25,51;-1,52;-0,21;4,58;6,00;-3,96;1,87;10,86;4,69;7,88;0,43;0,57;0,36;11,23;39,89;136.934.019,86;7,43;0,81;0,99;17.330.503.722,48
TOYB3;2,29;;-43,94;-4,97;4,03;24,06;-10,70;-10,96;-45,00;-47,62;-0,63;;4,81;-5,93;-11,89;0,49;-11,31;-9,18;11,93;-0,81;1,81;0,84;-33,11;;;-0,46;-0,05;0,47;71.890.222,22
TOYB4;2,50;;-47,96;-5,43;4,40;24,06;-10,70;-10,96;-49,12;-47,62;-0,63;;5,26;-6,47;-12,98;0,49;-11,31;-9,18;11,93;-0,81;1,81;0,84;-33,11;;;-0,46;-0,05;0,52;71.890.222,22
TPIS3;0,83;2,25;22,89;0,16;0,05;29,66;21,84;0,57;0,60;7,13;6,53;1,75;0,13;-0,37;-0,05;0,28;0,70;0,22;6,05;0,31;0,69;0,38;-5,55;-0,97;303.959,53;5,21;0,04;-0,58;146.080.000,00
TRAD3;0,96;0,02;-3,27;0,50;0,46;47,30;-110,13;-99,78;-2,96;-0,93;2,00;-0,34;3,26;1,68;-0,72;4,23;-15,42;-14,09;-19,20;0,91;0,09;0,14;;;1.960.848,42;1,90;-0,29;0,00;266.139.781,10
TRIS3;3,04;7,23;8,35;0,43;0,22;29,63;34,13;8,93;2,19;4,47;2,29;0,45;0,75;0,45;-0,64;4,00;5,19;2,64;10,75;0,51;0,49;0,30;11,47;14,18;2.959.744,33;7,01;0,36;-0,19;565.451.140,14
TRPL3;27,65;3,84;8,05;1,10;0,57;60,17;64,04;41,50;5,22;6,48;1,95;0,41;3,34;5,40;-0,66;3,61;13,68;7,02;12,74;0,51;0,49;0,17;15,07;10,62;46.956,02;25,10;3,43;-0,32;15.816.459.379,32
TRPL4;21,63;4,91;6,30;0,86;0,44;60,17;64,04;41,50;4,08;6,48;1,95;0,41;2,61;4,22;-0,52;3,61;13,68;7,02;12,74;0,51;0,49;0,17;15,07;10,62;45.914.181,91;25,10;3,43;-0,25;15.816.459.379,32
TTEN3;12,23;1,07;10,66;2,16;1,00;15,15;7,81;8,30;11,33;11,72;0,40;0,08;0,89;4,01;-3,34;1,55;20,27;9,40;12,95;0,46;0,54;1,13;;;13.789.797,93;5,66;1,15;0,33;6.084.214.269,87
TUPY3;24,21;1,87;6,79;1,12;0,39;18,24;8,02;5,33;4,51;6,49;2,00;0,50;0,36;0,92;-1,21;2,66;16,55;5,73;9,67;0,35;0,65;1,08;16,82;;16.774.101,05;21,55;3,57;0,05;3.479.003.075,00
TXRX3;8,70;;-1,98;-0,11;0,15;31,51;15,99;-9,31;1,15;10,34;9,69;;0,18;-0,20;-0,31;0,42;-5,68;-7,36;-183,75;-1,30;2,30;0,79;13,47;;3.272,00;-77,44;-4,40;-0,01;20.828.239,08
TXRX4;2,91;;-0,66;-0,04;0,05;31,51;15,99;-9,31;0,38;10,34;9,69;;0,06;-0,07;-0,11;0,42;-5,68;-7,36;-183,75;-1,30;2,30;0,79;13,47;;19.281,41;-77,44;-4,40;0,00;20.828.239,08
UCAS3;2,38;7,63;4,77;0,83;0,56;34,18;10,62;13,41;6,03;5,36;-0,69;-0,10;0,64;5,72;-0,91;1,35;17,46;11,80;12,13;0,68;0,32;0,88;9,24;;108.446,14;2,86;0,50;0,18;157.946.409,96
UGPA3;13,97;3,67;8,65;1,28;0,43;5,12;2,33;1,25;4,65;6,78;2,13;0,59;0,11;2,69;-0,87;1,45;14,79;4,94;11,82;0,33;0,67;3,94;12,42;2,73;104.216.491,53;10,92;1,61;0,08;15.579.403.945,27
UNIP3;66,09;19,19;5,18;2,91;1,15;44,77;32,74;18,24;2,88;2,99;-0,01;-0,01;0,94;6,20;-2,02;1,74;56,29;22,12;44,37;0,39;0,61;1,21;19,21;34,37;1.843.664,49;22,67;12,76;-0,16;7.143.129.766,38
UNIP5;84,14;16,58;6,59;3,71;1,46;44,77;32,74;18,24;3,67;2,99;-0,01;-0,01;1,20;7,89;-2,58;1,74;56,29;22,12;44,37;0,39;0,61;1,21;19,21;34,37;30.967,83;22,67;12,76;-0,20;7.143.129.766,38
UNIP6;70,01;19,93;5,48;3,09;1,21;44,77;32,74;18,24;3,06;2,99;-0,01;-0,01;1,00;6,57;-2,14;1,74;56,29;22,12;44,37;0,39;0,61;1,21;19,21;34,37;19.199.181,63;22,67;12,76;-0,17;7.143.129.766,38
USIM3;7,96;7,19;6,17;0,39;0,25;17,49;8,21;4,98;3,74;4,00;0,42;0,04;0,31;0,67;-0,51;3,78;6,24;4,04;4,61;0,65;0,35;0,81;24,78;47,29;2.873.632,42;20,66;1,29;-0,08;9.549.476.078,28
USIM5;7,29;8,63;5,65;0,35;0,23;17,49;8,21;4,98;3,43;4,00;0,42;0,04;0,28;0,61;-0,47;3,78;6,24;4,04;4,61;0,65;0,35;0,81;24,78;47,29;106.372.801,09;20,66;1,29;-0,07;9.549.476.078,28
USIM6;15,93;3,95;12,36;0,77;0,50;17,49;8,21;4,98;7,49;4,00;0,42;0,04;0,61;1,33;-1,02;3,78;6,24;4,04;4,61;0,65;0,35;0,81;24,78;47,29;1.847,25;20,66;1,29;-0,15;9.549.476.078,28
VALE3;80,10;7,11;3,79;1,87;0,80;45,17;39,88;42,35;4,03;4,51;0,46;0,21;1,61;42,62;-0,98;1,12;49,22;21,16;28,76;0,43;0,57;0,50;15,85;40,33;1.878.847.311,07;42,94;21,13;-0,18;365.798.620.872,20
VAMO3;13,33;1,96;20,44;3,76;0,82;42,59;32,79;13,61;8,48;12,14;3,58;1,58;2,78;-100,73;-1,09;0,97;18,37;4,01;13,48;0,22;0,78;0,29;64,03;52,64;44.211.427,70;3,55;0,65;0,31;13.791.602.696,50
VBBR3;14,53;5,89;11,01;1,34;0,41;4,13;2,18;0,85;4,27;7,58;3,34;1,05;0,09;1,34;-0,90;2,31;12,19;3,74;11,89;0,31;0,69;4,41;16,50;5,95;158.620.528,79;10,83;1,32;-0,29;16.776.000.000,00
VIIA3;1,88;;-8,79;0,57;0,08;31,04;3,76;-1,11;2,59;8,93;6,34;1,39;0,10;-1,14;-0,16;0,87;-6,47;-0,96;2,86;0,15;0,85;0,87;3,76;;139.835.925,26;3,31;-0,21;-0,58;3.005.050.823,32
VITT3;11,30;3,23;10,78;2,79;1,69;38,35;21,30;17,62;8,92;9,80;0,92;0,29;1,90;4,55;-5,21;2,21;25,85;15,65;18,91;0,61;0,39;0,89;;;3.051.156,81;4,06;1,05;0,27;1.609.302.453,75
VIVA3;22,10;0,24;14,47;3,15;1,78;68,89;20,41;19,57;13,87;13,64;-0,24;-0,05;2,83;5,04;-4,46;2,42;21,77;12,31;18,40;0,57;0,43;0,63;;;35.338.798,79;7,02;1,53;0,69;5.224.694.650,28
VIVR3;0,41;;-3,07;-0,55;0,30;26,48;-67,87;-33,48;-1,51;-5,09;-3,58;;1,03;-0,58;-0,65;0,51;-17,96;-9,83;-136,48;-0,55;1,55;0,29;;;2.499.484,70;-0,74;-0,13;0,05;96.261.641,72
VIVT3;38,71;8,23;15,76;0,94;0,54;42,90;13,73;8,50;9,76;12,31;2,58;0,25;1,34;-13,18;-0,63;0,78;5,97;3,43;6,64;0,57;0,43;0,40;2,14;-2,38;95.198.989,28;41,15;2,46;-0,46;64.180.018.681,98
VIVT4;45,34;;18,46;1,10;0,63;42,90;13,73;8,50;11,43;12,31;2,58;0,25;1,57;-15,43;-0,74;0,78;5,97;3,43;6,64;0,57;0,43;0,40;2,14;-2,38;;41,15;2,46;-0,53;64.180.018.681,98
VLID3;9,53;2,76;31,86;0,61;0,29;35,63;16,10;1,30;2,58;4,17;1,59;0,38;0,42;1,28;-0,58;1,87;1,92;0,92;13,27;0,48;0,52;0,71;3,60;-2,43;2.540.924,16;15,55;0,30;-0,54;778.263.926,25
VSPT3;4,99;;-1,31;0,17;0,08;-2,93;-11,47;-18,52;-2,11;-3,16;-1,05;0,09;0,24;-2,11;-0,09;0,69;-13,10;-6,46;-8,15;0,49;0,51;0,35;11,60;;;29,09;-3,81;-0,01;712.610.842,16
VSPT4;0,00;;0,00;0,00;0,00;-2,93;-11,47;-18,52;0,00;-3,16;-1,05;0,09;0,00;0,00;0,00;0,69;-13,10;-6,46;-8,15;0,49;0,51;0,35;11,60;;;29,09;-3,81;0,00;712.610.842,16
VSTE3;16,00;;-2,01;-2,77;1,14;58,11;-55,44;-80,76;-2,93;-5,97;-3,04;;1,62;-12,89;-1,65;0,78;-137,83;-56,84;-52,92;-0,41;1,41;0,70;-4,90;;746.165,74;-5,56;-7,66;0,04;1.747.908.898,84
VULC3;12,08;3,06;6,32;1,74;1,18;36,95;17,48;18,52;6,70;7,17;0,50;0,13;1,17;2,90;-3,20;2,80;27,45;18,64;20,13;0,68;0,32;1,01;14,97;19,99;5.919.398,63;6,96;1,91;0,13;2.960.831.577,76
VVEO3;15,66;2,77;17,25;1,96;0,47;15,97;5,87;2,97;8,73;11,27;2,56;0,58;0,51;1,85;-1,14;1,75;11,39;2,72;8,23;0,24;0,76;0,91;;;2.577.091,28;7,97;0,91;-0,50;4.469.246.883,20
WEGE3;40,50;1,37;40,40;11,15;6,04;29,08;16,89;14,07;33,65;33,35;-0,30;-0,10;5,68;18,10;-20,04;1,91;27,60;14,96;22,50;0,54;0,46;1,06;25,71;29,80;265.716.756,33;3,63;1,00;2,33;169.991.378.919,00
WEST3;1,17;;-2,78;0,37;0,30;41,97;-27,71;-16,90;-1,70;0,03;1,71;-0,37;0,47;0,55;-0,87;6,77;-13,22;-10,92;-23,69;0,83;0,17;0,65;;;181.372,16;3,18;-0,42;-0,05;128.012.697,84
WHRL3;4,38;4,27;12,16;2,69;0,81;16,50;7,83;4,95;7,69;7,15;-0,55;-0,19;0,60;12,74;-2,67;1,10;22,16;6,69;20,32;0,30;0,70;1,35;14,11;11,67;8.897,95;1,63;0,36;-0,25;6.591.684.408,56
WHRL4;4,40;4,68;12,21;2,71;0,82;16,50;7,83;4,95;7,73;7,15;-0,55;-0,19;0,60;12,80;-2,69;1,10;22,16;6,69;20,32;0,30;0,70;1,35;14,11;11,67;36.497,02;1,63;0,36;-0,25;6.591.684.408,56
WIZC3;5,87;10,02;6,97;1,04;0,41;57,96;37,65;14,19;2,63;2,89;0,26;0,10;0,99;418,86;-0,52;1,00;14,88;5,85;22,50;0,39;0,61;0,41;12,37;-3,31;4.979.105,93;5,66;0,84;-0,25;940.254.818,16
WLMM3;22,00;6,18;6,83;1,29;0,99;13,34;7,75;5,94;5,24;5,64;0,17;0,04;0,41;2,49;-2,25;3,41;18,85;14,45;15,45;0,77;0,23;2,43;32,16;;4.400,00;17,09;3,22;0,62;836.840.950,00
WLMM4;23,50;3,88;7,30;1,37;1,05;13,34;7,75;5,94;5,59;5,64;0,17;0,04;0,43;2,66;-2,40;3,41;18,85;14,45;15,45;0,77;0,23;2,43;32,16;;17.568,85;17,09;3,22;0,67;836.840.950,00
YDUQ3;7,04;1,80;-37,36;0,74;0,24;56,57;13,53;-1,28;3,52;10,43;6,89;1,44;0,48;2,19;-0,31;1,90;-1,97;-0,64;7,32;0,33;0,67;0,50;6,20;;43.231.411,19;9,58;-0,19;0,27;2.182.167.288,06
ZAMP3;4,66;;-23,00;0,86;0,31;64,39;2,65;-1,53;13,26;18,20;5,11;0,33;0,35;19,77;-0,41;1,07;-3,76;-1,35;3,53;0,36;0,64;0,88;15,36;;5.985.243,79;5,39;-0,20;0,29;1.266.635.056,20
